prime one length (bin digits), 389
prime two length (bin digits), 661
modulus - n length (bin Digits), 1049
phi(n) length (bin digits), 1049
random seed used, 665
message length (bin digits), encryption time (seconds), decryption time (seconds)
44, 0.232016, 0.39997
135, 0.235331, 0.399055
14, 0.230848, 0.400512
71, 0.234303, 0.399447
40, 0.233992, 0.402144
125, 0.234487, 0.399149
165, 0.234535, 0.400426
2, 0.228063, 0.399808
198, 0.235284, 0.399422
48, 0.233434, 0.399412
177, 0.235694, 0.401081
157, 0.237835, 0.400188
22, 0.230677, 0.399123
140, 0.234668, 0.400006
46, 0.231688, 0.400292
69, 0.23278, 0.401164
172, 0.235911, 0.399042
187, 0.234998, 0.399784
120, 0.235144, 0.4004
15, 0.230277, 0.399189
194, 0.235383, 0.400906
171, 0.283619, 0.400198
52, 0.232006, 0.402462
58, 0.232336, 0.399911
179, 0.234708, 0.399862
6, 0.229892, 0.400056
95, 0.234256, 0.399961
114, 0.234461, 0.399501
185, 0.235296, 0.400137
2, 0.22824, 0.401519
117, 0.234981, 0.399753
47, 0.233166, 0.399534
88, 0.234149, 0.401543
95, 0.233898, 0.403913
59, 0.233901, 0.401108
36, 0.23106, 0.399633
97, 0.235469, 0.400665
179, 0.23496, 0.400361
37, 0.231562, 0.403047
161, 0.236309, 0.420026
32, 0.231486, 0.39856
121, 0.235266, 0.399682
194, 0.23631, 0.399789
121, 0.235265, 0.401363
126, 0.236082, 0.399422
46, 0.231874, 0.402101
123, 0.234823, 0.398887
156, 0.236515, 0.399337
95, 0.234325, 0.402097
147, 0.235953, 0.399764
47, 0.232185, 0.400168
182, 0.237675, 0.399544
37, 0.23141, 0.401277
101, 0.234938, 0.399591
138, 0.236162, 0.400306
102, 0.2347, 0.402997
188, 0.234846, 0.3989
136, 0.235441, 0.399815
81, 0.233073, 0.399242
144, 0.234758, 0.400586
180, 0.23494, 0.400751
64, 0.232705, 0.400379
183, 0.235767, 0.399321
156, 0.234635, 0.399504
58, 0.233799, 0.399942
142, 0.234741, 0.399076
11, 0.229563, 0.401118
101, 0.233619, 0.399139
63, 0.233217, 0.39997
138, 0.235062, 0.399964
176, 0.234817, 0.399617
11, 0.230681, 0.399032
72, 0.233638, 0.399563
43, 0.233311, 0.40117
132, 0.234681, 0.399837
81, 0.23312, 0.402405
4, 0.228601, 0.438085
32, 0.23253, 0.39947
194, 0.235491, 0.398829
8, 0.229624, 0.398787
193, 0.235612, 0.399939
98, 0.233914, 0.399919
184, 0.234895, 0.399845
106, 0.235644, 0.401055
175, 0.235132, 0.400775
104, 0.234116, 0.400703
17, 0.23004, 0.399238
47, 0.232689, 0.401756
195, 0.235288, 0.400075
50, 0.231677, 0.400751
4, 0.228824, 0.398815
27, 0.230445, 0.399529
181, 0.235084, 0.400442
174, 0.235396, 0.399193
19, 0.231161, 0.400915
102, 0.234275, 0.399695
75, 0.235103, 0.400323
46, 0.231671, 0.3997
5, 0.228301, 0.400244
43, 0.231019, 0.399818
4, 0.22805, 0.399194
0, 1.32e-05, 2.18e-05
133, 0.235478, 0.399152
66, 0.232818, 0.399515
30, 0.232052, 0.400761
13, 0.230349, 0.399048
89, 0.233121, 0.400043
110, 0.234231, 0.400889
17, 0.230056, 0.400996
163, 0.236139, 0.399451
3, 0.229147, 0.399039
95, 0.234202, 0.400742
105, 0.233785, 0.3998
3, 0.228796, 0.401156
123, 0.234723, 0.442899
89, 0.23361, 0.400807
199, 0.235323, 0.399823
107, 0.233987, 0.399683
99, 0.235106, 0.400005
92, 0.234042, 0.399462
104, 0.234738, 0.401361
172, 0.236021, 0.399626
122, 0.234384, 0.400994
26, 0.232519, 0.399942
109, 0.236509, 0.405981
21, 0.235072, 0.407816
194, 0.238382, 0.404864
12, 0.236536, 0.406327
106, 0.234299, 0.398864
63, 0.233206, 0.40077
26, 0.230575, 0.400345
157, 0.235047, 0.399762
103, 0.234505, 0.437005
119, 0.2344, 0.453656
4, 0.235186, 0.403162
181, 0.235443, 0.40018
138, 0.235578, 0.400782
47, 0.231744, 0.399745
112, 0.234064, 0.400541
199, 0.235095, 0.400072
11, 0.229453, 0.399829
85, 0.234166, 0.400361
47, 0.233375, 0.399379
139, 0.23703, 0.400444
127, 0.23521, 0.399761
139, 0.234797, 0.401164
9, 0.229327, 0.40001
53, 0.231969, 0.399343
117, 0.234459, 0.399624
117, 0.234691, 0.398799
8, 0.22985, 0.400247
21, 0.230936, 0.39984
140, 0.234466, 0.401438
143, 0.235959, 0.400721
74, 0.232691, 0.400221
189, 0.235239, 0.399513
35, 0.231876, 0.398627
44, 0.232146, 0.399858
27, 0.231119, 0.400488
166, 0.235191, 0.40089
71, 0.232982, 0.399606
127, 0.234627, 0.399909
41, 0.231015, 0.399902
187, 0.235061, 0.400232
129, 0.234958, 0.401992
30, 0.232021, 0.399458
142, 0.236643, 0.400827
100, 0.234063, 0.399618
45, 0.231497, 0.400473
178, 0.234763, 0.444182
97, 0.233636, 0.399487
20, 0.231165, 0.399037
116, 0.234412, 0.400105
65, 0.233132, 0.400146
69, 0.232336, 0.399817
12, 0.229503, 0.401298
3, 0.227847, 0.399793
4, 0.228521, 0.401357
33, 0.231553, 0.401337
166, 0.235057, 0.39916
154, 0.235209, 0.402318
33, 0.231078, 0.399439
182, 0.235713, 0.402233
2, 0.228915, 0.399609
110, 0.234529, 0.399645
121, 0.234939, 0.399769
181, 0.23526, 0.399462
148, 0.236242, 0.400419
47, 0.233516, 0.399123
99, 0.234203, 0.400055
54, 0.233632, 0.39993
28, 0.230989, 0.399763
107, 0.23428, 0.399665
128, 0.234995, 0.399535
2, 0.22869, 0.399882
61, 0.232343, 0.400283
65, 0.233175, 0.401205
85, 0.234, 0.398951
178, 0.235021, 0.399623
15, 0.229604, 0.40131
182, 0.236994, 0.402951
189, 0.235547, 0.399502
93, 0.234456, 0.466562
198, 0.239424, 0.408889
12, 0.229709, 0.400024
148, 0.235726, 0.4014
134, 0.27309, 0.399712
168, 0.235064, 0.399931
126, 0.234896, 0.399882
109, 0.234235, 0.399048
171, 0.235163, 0.39938
178, 0.235531, 0.399184
53, 0.23362, 0.399885
28, 0.231014, 0.400146
15, 0.230447, 0.400227
188, 0.235895, 0.399875
102, 0.233925, 0.399274
148, 0.235562, 0.399952
113, 0.234159, 0.398848
88, 0.23408, 0.400636
50, 0.231656, 0.399321
27, 0.230624, 0.400046
132, 0.235124, 0.400349
79, 0.233012, 0.399672
196, 0.234696, 0.434789
169, 0.234647, 0.398889
141, 0.236057, 0.399528
156, 0.235151, 0.399718
175, 0.235461, 0.399774
85, 0.233313, 0.399772
191, 0.234827, 0.400884
135, 0.236367, 0.399221
197, 0.235397, 0.399387
