message length (char), 200
random seed used, 665
prime one length (bin digits), prime two length (bin digits), modulus - n length (bin Digits, phi(n) length (bin digits), encryption time (seconds), decryption time (seconds)
428, 521, 948, 948,0.214785, 0.260686
576, 527, 1102, 1102,0.380784, 0.350825
389, 471, 859, 859,0.158816, 0.192775
559, 455, 1013, 1013,0.317252, 0.257991
514, 424, 937, 937,0.247599, 0.205578
467, 642, 1108, 1108,0.314666, 0.433649
497, 370, 866, 866,0.20625, 0.153813
432, 436, 867, 867,0.180084, 0.18073
565, 589, 1153, 1153,0.402529, 0.420141
484, 556, 1039, 1039,0.287268, 0.330182
497, 623, 1119, 1119,0.33798, 0.422578
403, 602, 1004, 1004,0.225016, 0.331268
589, 384, 972, 972,0.306141, 0.200499
509, 450, 958, 958,0.254435, 0.224443
519, 437, 955, 955,0.259444, 0.216676
484, 536, 1019, 1019,0.274179, 0.305305
578, 642, 1219, 1219,0.464821, 0.516987
544, 578, 1121, 1121,0.364954, 0.388908
362, 396, 757, 757,0.119297, 0.130292
466, 472, 937, 937,0.226205, 0.2288
573, 384, 956, 956,0.288167, 0.193754
447, 556, 1002, 1002,0.250285, 0.309136
554, 388, 941, 941,0.27084, 0.190654
385, 500, 884, 884,0.167819, 0.216996
471, 613, 1083, 1083,0.302271, 0.391211
344, 444, 787, 787,0.122463, 0.15502
344, 651, 994, 994,0.185752, 0.348143
334, 662, 995, 995,0.183328, 0.357861
350, 462, 811, 811,0.129449, 0.169698
386, 510, 895, 895,0.171248, 0.224642
360, 599, 958, 958,0.182559, 0.30058
600, 391, 990, 990,0.322075, 0.211473
492, 344, 835, 835,0.1923, 0.135352
372, 413, 784, 784,0.127485, 0.143456
582, 557, 1138, 1138,0.40834, 0.39007
419, 666, 1084, 1084,0.268712, 0.426165
547, 415, 961, 961,0.274425, 0.20887
361, 500, 860, 860,0.148768, 0.204691
433, 419, 851, 851,0.174545, 0.170184
514, 450, 963, 963,0.263414, 0.23077
589, 339, 927, 927,0.2761, 0.159048
502, 636, 1137, 1137,0.351184, 0.442228
624, 543, 1166, 1166,0.458757, 0.398391
634, 394, 1027, 1027,0.367833, 0.229819
649, 516, 1164, 1164,0.474803, 0.378707
629, 576, 1204, 1204,0.492079, 0.45198
379, 658, 1036, 1036,0.223388, 0.385096
554, 344, 897, 897,0.243607, 0.152251
666, 627, 1292, 1292,0.596768, 0.560816
473, 617, 1089, 1089,0.301989, 0.39065
448, 483, 930, 930,0.211694, 0.227974
371, 335, 705, 705,0.105144, 0.0942531
539, 337, 875, 875,0.227414, 0.143457
603, 500, 1102, 1102,0.398888, 0.329766
505, 369, 873, 873,0.213608, 0.158495
645, 339, 983, 983,0.341792, 0.180197
394, 425, 818, 818,0.148461, 0.160546
649, 662, 1310, 1310,0.590784, 0.602112
595, 653, 1247, 1247,0.494244, 0.545007
443, 340, 782, 782,0.151236, 0.117368
493, 450, 942, 942,0.240636, 0.219396
482, 556, 1037, 1037,0.282256, 0.328483
343, 626, 968, 968,0.179563, 0.323032
478, 497, 974, 974,0.250537, 0.258662
469, 560, 1028, 1028,0.274629, 0.327402
363, 467, 829, 829,0.139375, 0.177278
383, 384, 766, 766,0.125873, 0.12733
471, 339, 809, 809,0.173642, 0.123535
381, 461, 841, 841,0.152356, 0.181815
610, 339, 948, 948,0.302972, 0.167726
372, 335, 706, 706,0.10608, 0.09694
583, 434, 1016, 1016,0.33295, 0.246933
425, 493, 917, 917,0.198163, 0.230587
565, 359, 923, 923,0.265842, 0.169167
636, 442, 1077, 1077,0.40566, 0.282267
366, 434, 799, 799,0.129851, 0.154995
486, 385, 870, 870,0.206176, 0.161887
427, 666, 1092, 1092,0.282846, 0.436055
399, 346, 744, 744,0.127262, 0.110557
494, 548, 1041, 1041,0.293862, 0.324203
545, 506, 1050, 1050,0.329019, 0.305001
458, 350, 807, 807,0.167865, 0.128612
338, 569, 906, 906,0.15302, 0.257551
438, 658, 1095, 1095,0.288285, 0.429812
537, 504, 1040, 1040,0.316226, 0.295518
390, 417, 806, 806,0.14297, 0.152594
578, 494, 1071, 1071,0.360751, 0.310885
626, 612, 1237, 1237,0.517606, 0.503706
574, 658, 1231, 1231,0.464779, 0.531952
457, 523, 979, 979,0.242259, 0.27771
425, 338, 762, 762,0.139263, 0.109885
340, 471, 810, 810,0.125495, 0.174237
399, 523, 921, 921,0.188535, 0.242901
394, 481, 874, 874,0.169628, 0.20387
516, 378, 893, 893,0.226768, 0.167654
419, 617, 1035, 1035,0.245372, 0.358164
502, 579, 1080, 1080,0.320527, 0.369172
432, 429, 860, 860,0.17648, 0.175833
442, 438, 879, 879,0.189971, 0.187115
511, 558, 1068, 1068,0.317968, 0.345848
551, 654, 1204, 1204,0.436539, 0.5144
658, 452, 1109, 1109,0.447085, 0.306382
379, 506, 884, 884,0.165325, 0.221471
589, 384, 972, 972,0.306063, 0.201579
343, 562, 904, 904,0.157018, 0.255513
385, 455, 839, 839,0.152203, 0.179241
362, 595, 956, 956,0.183472, 0.295525
450, 479, 928, 928,0.211142, 0.223074
644, 413, 1056, 1056,0.389156, 0.251815
466, 390, 855, 855,0.19082, 0.158473
397, 574, 970, 970,0.20783, 0.296548
618, 562, 1179, 1179,0.466382, 0.425306
539, 574, 1112, 1112,0.360407, 0.385168
427, 451, 877, 877,0.183174, 0.192908
521, 661, 1181, 1181,0.391826, 0.496043
623, 639, 1261, 1261,0.532152, 0.543442
386, 623, 1008, 1008,0.216549, 0.345888
383, 460, 842, 842,0.151902, 0.184007
376, 455, 830, 830,0.1436, 0.17332
626, 500, 1125, 1125,0.43216, 0.344093
438, 390, 827, 827,0.166954, 0.148901
351, 525, 875, 875,0.152129, 0.223423
569, 562, 1130, 1130,0.396459, 0.39026
451, 578, 1028, 1028,0.262913, 0.33641
419, 622, 1040, 1040,0.247525, 0.365558
380, 373, 752, 752,0.120889, 0.120046
451, 663, 1113, 1113,0.304909, 0.447595
516, 407, 922, 922,0.241126, 0.19019
419, 347, 765, 765,0.137718, 0.11413
351, 571, 921, 921,0.164436, 0.266673
636, 433, 1068, 1068,0.396465, 0.271712
342, 611, 952, 952,0.170564, 0.302402
434, 558, 991, 991,0.234962, 0.299652
592, 587, 1178, 1178,0.44165, 0.437358
367, 477, 843, 843,0.146581, 0.1909
511, 361, 871, 871,0.217252, 0.15363
338, 623, 960, 960,0.182844, 0.312355
638, 536, 1173, 1173,0.477837, 0.406987
384, 546, 929, 929,0.18248, 0.255763
409, 662, 1070, 1070,0.254842, 0.412326
441, 647, 1087, 1087,0.284835, 0.415082
366, 375, 740, 740,0.114306, 0.117238
447, 389, 835, 835,0.173559, 0.152821
518, 513, 1030, 1030,0.301575, 0.298037
415, 646, 1060, 1060,0.256052, 0.398963
640, 582, 1221, 1221,0.515536, 0.470414
617, 429, 1045, 1045,0.364918, 0.257228
438, 666, 1103, 1103,0.289226, 0.439629
477, 585, 1061, 1061,0.29782, 0.360997
423, 579, 1001, 1001,0.233843, 0.317685
500, 572, 1071, 1071,0.311404, 0.356859
504, 654, 1157, 1157,0.366702, 0.479274
361, 421, 781, 781,0.12512, 0.143826
352, 616, 967, 967,0.185229, 0.314946
401, 513, 913, 913,0.183787, 0.231852
480, 378, 857, 857,0.197256, 0.155992
385, 589, 973, 973,0.202918, 0.306071
397, 510, 906, 906,0.183303, 0.232787
518, 507, 1024, 1024,0.295741, 0.288613
347, 542, 888, 888,0.153949, 0.237846
536, 574, 1109, 1109,0.360404, 0.38503
417, 449, 865, 865,0.168679, 0.182191
604, 359, 962, 962,0.308774, 0.183366
426, 407, 832, 832,0.162981, 0.155134
374, 363, 736, 736,0.113165, 0.11074
344, 419, 762, 762,0.113217, 0.137611
578, 428, 1005, 1005,0.318787, 0.235991
498, 402, 899, 899,0.223633, 0.181073
504, 494, 997, 997,0.276201, 0.272808
382, 554, 935, 935,0.184878, 0.267719
588, 379, 966, 966,0.302946, 0.196463
457, 447, 903, 903,0.206089, 0.202755
378, 526, 903, 903,0.173244, 0.237651
499, 412, 910, 910,0.228891, 0.189308
391, 661, 1051, 1051,0.236507, 0.399468
337, 514, 850, 850,0.137996, 0.205024
661, 430, 1090, 1090,0.426994, 0.27768
337, 338, 674, 674,0.0873019, 0.0867958
350, 334, 683, 683,0.0941126, 0.0905303
454, 554, 1007, 1007,0.252579, 0.307692
453, 482, 934, 934,0.219741, 0.233156
617, 537, 1153, 1153,0.434201, 0.378518
598, 562, 1159, 1159,0.436758, 0.413147
429, 372, 800, 800,0.153735, 0.132287
383, 623, 1005, 1005,0.213937, 0.344773
403, 644, 1046, 1046,0.245089, 0.387465
537, 463, 999, 999,0.294944, 0.257794
642, 425, 1066, 1066,0.400259, 0.267147
458, 413, 870, 870,0.192484, 0.175231
376, 531, 906, 906,0.171628, 0.240784
449, 442, 890, 890,0.196515, 0.192407
604, 419, 1022, 1022,0.34466, 0.240098
427, 385, 811, 811,0.158099, 0.140663
602, 510, 1111, 1111,0.405181, 0.345162
441, 595, 1035, 1035,0.261154, 0.349678
411, 569, 979, 979,0.21945, 0.301021
348, 392, 739, 739,0.108357, 0.121493
638, 380, 1017, 1017,0.360858, 0.215853
410, 556, 965, 965,0.213258, 0.288657
565, 494, 1058, 1058,0.345942, 0.303994
348, 641, 988, 988,0.18755, 0.340188
366, 595, 960, 960,0.185036, 0.29808
433, 628, 1060, 1060,0.26775, 0.385129
425, 647, 1071, 1071,0.26772, 0.402075
494, 535, 1028, 1028,0.290442, 0.313206
626, 398, 1023, 1023,0.356704, 0.227473
636, 604, 1239, 1239,0.527556, 0.498834
533, 378, 910, 910,0.244493, 0.174448
351, 390, 740, 740,0.11063, 0.122727
364, 374, 737, 737,0.110194, 0.113351
650, 589, 1238, 1238,0.540991, 0.488887
498, 336, 833, 833,0.191835, 0.130306
334, 658, 991, 991,0.182317, 0.351358
369, 610, 978, 978,0.196715, 0.319647
624, 351, 974, 974,0.319531, 0.182737
476, 429, 904, 904,0.216433, 0.194141
458, 408, 865, 865,0.187108, 0.165439
424, 437, 860, 860,0.173603, 0.178444
403, 444, 846, 846,0.162612, 0.177088
396, 569, 964, 964,0.204881, 0.294901
427, 558, 984, 984,0.22982, 0.298548
388, 370, 757, 757,0.126821, 0.120542
405, 513, 917, 917,0.189236, 0.238692
